London Wellness - Canary Wharf,Mon: 8 AM – 7 PM;Tues: 8 AM – 7 PM;Wednes: 8 AM – 7 PM;Thurs: 8 AM – 7 PM;Fri: 8 AM – 7 PM;Satur: 9 AM – 2 PM,Port East Building West India Quay 14 Hertsmere Rd E14 4AF,4.9
Banya No.1 - Hoxton,Mon: 9:30 AM – 10:30 PM;Tues: 9:30 AM – 10:30 PM;Wednes: 9:30 AM – 10:30 PM;Thurs: 9:30 AM – 10:30 PM;Fri: 9:30 AM – 10:30 PM;Satur: 9:30 AM – 10:30 PM,17 Micawber St N1 7TB,4.8
London health and wellbeing,Mon: 8 AM – 9 PM;Tues: 8 AM – 9 PM;Wednes: 8 AM – 9 PM;Thurs: 8 AM – 9 PM;Fri: 8 AM – 9 PM;Satur: 10 AM – 6 PM,8 Devonshire Row EC2M 4RH,4.1
London Wellness - Monument,Mon: 8 AM – 7 PM;Tues: 8 AM – 7 PM;Wednes: 8 AM – 7 PM;Thurs: 8 AM – 7 PM;Fri: 8 AM – 7 PM;Satur: 9 AM – 12 PM,The Light Centre 36 St Mary at Hill EC3R 8DU,4.8
The Bath House — Banya London,Mon: 10 AM – 11 PM;Tues: 10 AM – 11 PM;Wednes: 10 AM – 11 PM;Thurs: 10 AM – 11 PM;Fri: 10 AM – 11 PM;Satur: 10 AM – 11 PM,1 Grosvenor Gardens SW1W 0BD,4.8
UNTIL Soho - Flexible Wellness Workspace,Mon: 6 AM – 9 PM;Tues: 6 AM – 9 PM;Wednes: 6 AM – 9 PM;Thurs: 6 AM – 9 PM;Fri: 6 AM – 8 PM;Satur: 8 AM – 7 PM,UNTIL 111 Charing Cross Rd WC2H 0DT,4.9
Akasha,Mon: 7:15 AM – 9 PM;Tues: 7:15 AM – 9 PM;Wednes: 7:15 AM – 9 PM;Thurs: 7:15 AM – 9 PM;Fri: 7:15 AM – 9 PM;Satur: 7:15 AM – 9 PM,Hotel Café Royal 50 Regent St. W1B 5AS,4.5
London Wellness Studio,Mon: Open 24 hours;Tues: Open 24 hours;Wednes: Open 24 hours;Thurs: Open 24 hours;Fri: Open 24 hours;Satur: Open 24 hours,40 Bell St NW1 5AW,4.9
Natural Wellness,Mon: 9:30 AM – 11:30 PM;Tues: 9:30 AM – 11:30 PM;Wednes: 9:30 AM – 11:30 PM;Thurs: 9:30 AM – 11:30 PM;Fri: 9:30 AM – 11:30 PM;Satur: 9:30 AM – 11:30 PM,29 Peter St W1F 0AN,3.9
Midtown Wellness in Covent Garden,Mon: 8 AM – 10 PM;Tues: 8 AM – 10 PM;Wednes: 8 AM – 10 PM;Thurs: 8 AM – 10 PM;Fri: 8 AM – 9 PM;Satur: 8 AM – 8 PM,7 Henrietta St WC2E 8PS,5.0
My Wellness Centre,Mon: 8 AM – 8 PM;Tues: 8 AM – 8 PM;Wednes: 8 AM – 8 PM;Thurs: 8 AM – 8 PM;Fri: 8 AM – 8 PM;Satur: 10 AM – 2 PM,128 A St John St EC1V 4JS,4.9
The London House of Wellbeing,Mon: Closed;Tues: 10 AM – 6 PM;Wednes: 10 AM – 6 PM;Thurs: 10 AM – 7 PM;Fri: 10 AM – 6 PM;Satur: 10 AM – 4 PM,200 Railton Rd SE24 0LT,5.0
The Wellness Lab,Mon: 9:30 AM – 7 PM;Tues: 9:30 AM – 7 PM;Wednes: 9:30 AM – 7 PM;Thurs: 9:30 AM – 7 PM;Fri: 9:30 AM – 7 PM;Satur: 10 AM – 6 PM,21 Knightsbridge SW1X 7LY,4.9
Star Freud Wellness Clinic,Mon: 12:30 – 7:30 PM;Tues: 12:30 – 7:30 PM;Wednes: 12:30 – 7:30 PM;Thurs: 12:30 – 7:30 PM;Fri: 12:30 – 7:30 PM;Satur: Closed,36 St Mary at Hill EC3R 8DU,5.0
Bamford Wellness Spa, Brompton Cross,Mon: 10 AM – 6 PM;Tues: 10 AM – 6 PM;Wednes: 10 AM – 6 PM;Thurs: 9 AM – 7 PM;Fri: 9 AM – 7 PM;Satur: 9 AM – 6 PM,104 Draycott Ave SW3 3AE,4.5
Remedi London,Mon: 10 AM – 5:30 PM;Tues: 10 AM – 5:30 PM;Wednes: 10 AM – 5:30 PM;Thurs: 12 – 8 PM;Fri: 10 AM – 5:30 PM;Satur: 11 AM – 4 PM,1 Ace Wy. Embassy Gardens Nine Elms SW11 7BF,4.9
Embody Wellness,Mon: 11 AM – 8 PM;Tues: 9:30 AM – 8 PM;Wednes: 11:30 AM – 8 PM;Thurs: 9:30 AM – 8 PM;Fri: 11 AM – 6 PM;Satur: 9:30 AM – 6 PM,11 St George Wharf SW8 2LE,4.9
58 wellbeing Centre,Mon: 9 AM – 9:30 PM;Tues: 9 AM – 9:30 PM;Wednes: 9 AM – 9:30 PM;Thurs: 9 AM – 9:30 PM;Fri: 9 AM – 9:30 PM;Satur: 10 AM – 5 PM,58 S Molton St W1K 5SL,4.8
LDN WELLNESS,Mon: 9 AM – 8:30 PM;Tues: 9 AM – 8:30 PM;Wednes: 9 AM – 8:30 PM;Thurs: 9 AM – 8:30 PM;Fri: 9 AM – 8:30 PM;Satur: Closed,24 Corsham St N1 6DR,5.0
London Skin Wellness House,Mon: 10 AM – 8 PM;Tues: 10 AM – 8 PM;Wednes: 10 AM – 8 PM;Thurs: 10 AM – 8 PM;Fri: 10 AM – 8 PM;Satur: 10 AM – 8 PM,131 Lower Marsh SE1 7AE,4.9
